iter	MultiClass
0	0.9894452823
1	0.9041349307
2	0.8355163281
3	0.7784474375
4	0.7291505269
5	0.6854525814
6	0.651542494
7	0.6214710612
8	0.593147503
9	0.5676588229
10	0.5432990844
11	0.5241529434
12	0.5035544437
13	0.4862441305
14	0.471150047
15	0.458982432
16	0.4461489245
17	0.4339877283
18	0.4226956533
19	0.4124546729
20	0.4036201011
21	0.3942621769
22	0.3856481481
23	0.3786031637
24	0.3714436099
25	0.3663523183
26	0.3605200499
27	0.3556759394
28	0.3496276054
29	0.345476445
30	0.3397526446
31	0.333851693
32	0.3276165737
33	0.3225545508
34	0.3184757364
35	0.3145854968
36	0.3111627732
37	0.3091694869
38	0.3055165154
39	0.301128715
40	0.2987703328
41	0.2955310759
42	0.2920490145
43	0.2892527242
44	0.2867086387
45	0.2835314181
46	0.2814553011
47	0.2786310104
48	0.276138506
49	0.2740047765
50	0.2709936945
51	0.2686384973
52	0.2656777086
53	0.2641905239
54	0.2617656189
55	0.2596927705
56	0.2583033413
57	0.2563501095
58	0.2546820157
59	0.2526499018
60	0.2506986322
61	0.2492659044
62	0.2475824672
63	0.2464773564
64	0.2444184565
65	0.2428088721
66	0.2413301673
67	0.2399613075
68	0.238146496
69	0.2373242618
70	0.2359984673
71	0.2347079904
72	0.2326907574
73	0.2316034183
74	0.230450472
75	0.2292111717
76	0.2280334509
77	0.2268560109
78	0.2257488413
79	0.2240755101
80	0.2229108135
81	0.2222151102
82	0.2211918405
83	0.220531008
84	0.2190539594
85	0.2179513188
86	0.2167082732
87	0.2158372843
88	0.2150042889
89	0.2139479316
90	0.2134432543
91	0.2127197636
92	0.2121763234
93	0.211245001
94	0.2101355762
95	0.2096886824
96	0.2088793485
97	0.2079673198
98	0.2069814635
99	0.2061309053
100	0.2054542709
101	0.2048677188
102	0.2039363524
103	0.2032981835
104	0.2025098157
105	0.2018905162
106	0.2013836857
107	0.2006088048
108	0.2000710002
109	0.199181979
110	0.1984305885
111	0.1979064931
112	0.1975924187
113	0.1970481858
114	0.1963603507
115	0.1956282003
116	0.1951549633
117	0.194318538
118	0.1938165138
119	0.1927977724
120	0.1918266972
121	0.1914712186
122	0.1907963117
123	0.1899573484
124	0.1895868541
125	0.1889746094
126	0.1883680499
127	0.1879713485
128	0.1872723725
129	0.1866995222
130	0.1862857351
131	0.1855971744
132	0.1851657255
133	0.184503479
134	0.1841580823
135	0.1837459809
136	0.1833758089
137	0.1829003067
138	0.182483982
139	0.1817358669
140	0.1811174691
141	0.1805233162
142	0.1802936869
143	0.1798126078
144	0.1792281299
145	0.1788384173
146	0.1785842701
147	0.1781719878
148	0.177223585
149	0.1769294496
150	0.1766036407
151	0.1762183241
152	0.1754462038
153	0.1748102085
154	0.1744004756
155	0.1740496238
156	0.1735845818
157	0.1731725861
158	0.1726147677
159	0.1718500426
160	0.1714940342
161	0.1712790326
162	0.1710339373
163	0.1706842108
164	0.1703012449
165	0.1697661795
166	0.1693751276
167	0.1687525696
168	0.1685288601
169	0.1681177739
170	0.1678489388
171	0.1675693286
172	0.1671084231
173	0.1666170265
174	0.1661852758
175	0.165799547
176	0.165613442
177	0.1652341495
178	0.1648664161
179	0.1646166975
180	0.1640872575
181	0.1638217696
182	0.1635742353
183	0.1632376612
184	0.1628591997
185	0.1626371364
186	0.1624242675
187	0.1618825415
188	0.1615433238
189	0.1612933221
190	0.1609243423
191	0.1605699852
192	0.1601209219
193	0.1599937384
194	0.1594691705
195	0.1591585854
196	0.1587622564
197	0.1584749282
198	0.157818148
199	0.1576425787
200	0.1573118601
201	0.1568326542
202	0.1565412444
203	0.1562293444
204	0.1558943053
205	0.1554497896
206	0.1552496715
207	0.1550231472
208	0.1548203101
209	0.154669998
210	0.1542949365
211	0.1540888571
212	0.1537163561
213	0.1535251844
214	0.1531175777
215	0.1529435586
216	0.1526323351
217	0.1522147701
218	0.1517216726
219	0.1513476503
220	0.1509985735
221	0.1507816657
222	0.1506206391
223	0.1503519736
224	0.1500559386
225	0.1498119137
226	0.1496152202
227	0.1494303837
228	0.1492812277
229	0.1488733155
230	0.1486832829
231	0.148370303
232	0.1481372727
233	0.1480007931
234	0.1476204832
235	0.1472865608
236	0.1471192255
237	0.1467979523
238	0.1466640616
239	0.1464810252
240	0.146273875
241	0.1461343551
242	0.1458001082
243	0.1455341481
244	0.1452291453
245	0.1450024911
246	0.1448819456
247	0.1446672884
248	0.1444405878
249	0.1442351668
250	0.1441090698
251	0.1437739111
252	0.1435810809
253	0.1433212981
254	0.1432781257
255	0.1431516338
256	0.1428487584
257	0.1427107502
258	0.1425237392
259	0.1423848112
260	0.1422162717
261	0.1420783598
262	0.1418606492
263	0.1416500596
264	0.1413843179
265	0.1412338038
266	0.1410353476
267	0.1408079872
268	0.1406532946
269	0.1404830414
270	0.1402737181
271	0.1401151003
272	0.1399994666
273	0.1396907569
274	0.1395108455
275	0.1394320678
276	0.1393261283
277	0.1391571325
278	0.1389025952
279	0.138660528
280	0.1383919281
281	0.1381998415
282	0.1381443282
283	0.1380881137
284	0.1379425721
285	0.1376763036
286	0.1375226555
287	0.1373494029
288	0.1372236729
289	0.1370479064
290	0.1368520839
291	0.1366289094
292	0.1365212178
293	0.1362948088
294	0.1361600732
295	0.1359965614
296	0.135822267
297	0.1357023429
298	0.1354367821
299	0.1352813427
300	0.1350814777
301	0.1348060168
302	0.1347014706
303	0.1345173654
304	0.1344274419
305	0.1342533221
306	0.1341386917
307	0.1339721396
308	0.1336432437
309	0.1335582465
310	0.1334483893
311	0.1332254826
312	0.1331276719
313	0.1330232961
314	0.1328808816
315	0.1326650117
316	0.1324154993
317	0.1322656545
318	0.1321542128
319	0.1319413051
320	0.1317832154
321	0.1316606266
322	0.1314929344
323	0.1313687098
324	0.1312888281
325	0.1311305224
326	0.1307619304
327	0.1306828918
328	0.1305591364
329	0.1303745953
330	0.1301210975
331	0.1300637304
332	0.1299624886
333	0.1297931414
334	0.1297231607
335	0.1295881445
336	0.1294800949
337	0.129350999
338	0.129124096
339	0.1290189459
340	0.1288710535
341	0.1286459997
342	0.1284579083
343	0.1283876902
344	0.1282102236
345	0.1281582963
346	0.1281019129
347	0.1279221641
348	0.1277506109
349	0.1274913039
350	0.1273593314
351	0.1271155345
352	0.126986324
353	0.126777563
354	0.1266677315
355	0.1264728531
356	0.126329067
357	0.1258866015
358	0.1257501047
359	0.1256077642
360	0.1253716451
361	0.1251882184
362	0.1251000664
363	0.1250217039
364	0.1249192396
365	0.1248275311
366	0.1247028958
367	0.1245191689
368	0.1243921369
369	0.1242276634
370	0.1240859268
371	0.1239438824
372	0.1237935411
373	0.1236234666
374	0.1235727267
375	0.1234710865
376	0.1233892543
377	0.1232564161
378	0.1230925948
379	0.1229595784
380	0.1228915161
381	0.1227078218
382	0.1226348143
383	0.1225275323
384	0.1224306684
385	0.1222856672
386	0.1221744495
387	0.1220756994
388	0.1220286024
389	0.1219457176
390	0.1218047694
391	0.1217145362
392	0.1216231396
393	0.1214374821
394	0.1213577485
395	0.1212175463
396	0.1211099955
397	0.1210284798
398	0.1209188383
399	0.1208208553
400	0.1207083655
401	0.1205138801
402	0.1203981844
403	0.1203438569
404	0.1202331264
405	0.1199992388
406	0.1199153509
407	0.1197787202
408	0.119531666
409	0.1194413465
410	0.1190709893
411	0.1190016483
412	0.1188785967
413	0.1188040544
414	0.1187169895
415	0.1184958215
416	0.1183639814
417	0.1182797589
418	0.1181846835
419	0.1181180008
420	0.1180055495
421	0.1179326276
422	0.1178989047
423	0.117826566
424	0.117774725
425	0.1176924918
426	0.1175538047
427	0.1174814681
428	0.1174271373
429	0.1173648667
430	0.1172150915
431	0.1170508078
432	0.1169670353
433	0.116831401
434	0.1167262519
435	0.1166732061
436	0.1166298722
437	0.1165254733
438	0.1164728949
439	0.1164242041
440	0.1163520564
441	0.1162257358
442	0.1161265746
443	0.1159942315
444	0.1158496738
445	0.115766392
446	0.1156758903
447	0.1156483921
448	0.1155239239
449	0.1154789261
450	0.1154040229
451	0.1152628413
452	0.1151748422
453	0.1150873555
454	0.1150198033
455	0.1149362743
456	0.1147451446
457	0.114655315
458	0.1145593929
459	0.1144375368
460	0.1142961129
461	0.1141186089
462	0.1139588476
463	0.1139152247
464	0.113824647
465	0.1137333469
466	0.1135810983
467	0.1133255543
468	0.1132490749
469	0.1131920174
470	0.1131230268
471	0.1129876052
472	0.112835305
473	0.1127196595
474	0.1126027182
475	0.1125299864
476	0.1123275722
477	0.1122784816
478	0.1121735155
479	0.1120886238
480	0.1119044483
481	0.1118787759
482	0.1118422954
483	0.1117772268
484	0.1117248422
485	0.1115980319
486	0.1115129385
487	0.1114463516
488	0.1113632489
489	0.1111196663
490	0.111042324
491	0.1109942803
492	0.1108907514
493	0.1108546331
494	0.1107327054
495	0.110670868
496	0.1106452347
497	0.110558072
498	0.1104955572
499	0.110446339
500	0.110292421
501	0.1102337799
502	0.1100832081
503	0.1099538368
504	0.1098432596
505	0.109743834
506	0.1096660048
507	0.1096379656
508	0.1093745218
509	0.1093260955
510	0.1092457481
511	0.1092106394
512	0.1090568552
513	0.1089737153
514	0.1088579088
515	0.1087998836
516	0.1086768733
517	0.1084636602
518	0.1083683861
519	0.1082819795
520	0.1082428061
521	0.1081912029
522	0.1081361019
523	0.1081103749
524	0.1080435968
525	0.1079549859
526	0.1079112174
527	0.1078383212
528	0.1077715628
529	0.1076169848
530	0.1075059603
531	0.1074334507
532	0.1073639645
533	0.1072529695
534	0.1071726976
535	0.107083257
536	0.1069962429
537	0.1069585059
538	0.1068872348
539	0.1067678591
540	0.1067126762
541	0.1066459923
542	0.1065495142
543	0.106430084
544	0.1063385279
545	0.1062771035
546	0.1062118128
547	0.1061835421
548	0.1061403141
549	0.1060841487
550	0.1060445172
551	0.105933029
552	0.1058685648
553	0.1058200059
554	0.1057411601
555	0.1057146112
556	0.1056899485
557	0.1056106483
558	0.1055161422
559	0.1054128791
560	0.1053132595
561	0.1052420645
562	0.1051771391
563	0.1051402442
564	0.104995578
565	0.1049124866
566	0.1048699779
567	0.1047716884
568	0.1046649346
569	0.1046197105
570	0.1045856781
571	0.1045062933
572	0.1044488983
573	0.1043749816
574	0.1042380414
575	0.1041945905
576	0.1041678936
577	0.1041048501
578	0.1040359083
579	0.1039744114
580	0.1038885942
581	0.103827125
582	0.1037100991
583	0.1036810041
584	0.103619075
585	0.1036051621
586	0.103433698
587	0.1033571487
588	0.103274592
589	0.1032177418
590	0.1031387321
591	0.1031050754
592	0.1030273149
593	0.1028957684
594	0.1028575787
595	0.1027793052
596	0.1026721715
597	0.1026151834
598	0.1025593765
599	0.102510041
600	0.1024244776
601	0.1023186124
602	0.1022682627
603	0.1022405117
604	0.1021755102
605	0.1021232399
606	0.1020624166
607	0.102038352
608	0.1019665826
609	0.1018665486
610	0.1018278741
611	0.1017803181
612	0.1017455174
613	0.1017251035
614	0.1016192571
615	0.1015676213
616	0.1015053379
617	0.1013787663
618	0.1013119073
619	0.1012225495
620	0.1011642849
621	0.1011233637
622	0.1010097883
623	0.1009669166
624	0.1008882799
625	0.1007892771
626	0.1006526579
627	0.1006246797
628	0.1005849055
629	0.1005457067
630	0.1005082113
631	0.10048726
632	0.1003993951
633	0.1002289488
634	0.1000460212
635	0.09996582577
636	0.09992109517
637	0.09985224693
638	0.09977515477
639	0.0997003768
640	0.09966868937
641	0.09960635943
642	0.0995651472
643	0.09951358948
644	0.0994069506
645	0.09935590186
646	0.09929658287
647	0.09926621536
648	0.09924803923
649	0.09919621352
650	0.09912585723
651	0.09909814242
652	0.09897652523
653	0.09894559879
654	0.09891235729
655	0.09881564884
656	0.09869634444
657	0.09861031062
658	0.09857042184
659	0.0984785216
660	0.09833933409
661	0.09830963541
662	0.09821276477
663	0.09810638164
664	0.09808302187
665	0.09804743855
666	0.097958449
667	0.09791427613
668	0.09789537613
669	0.09785580662
670	0.09779717829
671	0.09774730895
672	0.09766644624
673	0.09761614665
674	0.09754511843
675	0.09739513494
676	0.09730062643
677	0.09718366907
678	0.09715798252
679	0.09706367528
680	0.0969866857
681	0.09695677236
682	0.09687454429
683	0.0968504181
684	0.09678730702
685	0.09677474067
686	0.09674492585
687	0.09672769208
688	0.09664372386
689	0.09652871072
690	0.09648719655
691	0.0964601352
692	0.09640474162
693	0.09637826631
694	0.09629177272
695	0.09623342557
696	0.09621805265
697	0.09615638904
698	0.09611790769
699	0.09605882852
700	0.09600259447
701	0.09593771711
702	0.09590927333
703	0.09583122868
704	0.095765558
705	0.0956675728
706	0.09562936793
707	0.09560190219
708	0.0955061326
709	0.09531406357
710	0.09526170059
711	0.09521149423
712	0.0951174407
713	0.09501485002
714	0.09492044423
715	0.09487812035
716	0.09483829482
717	0.09481615217
718	0.09472474852
719	0.09467232121
720	0.09457623298
721	0.09450311469
722	0.09447247762
723	0.09444897915
724	0.0943682866
725	0.09435439702
726	0.09432194987
727	0.09430208545
728	0.09423858612
729	0.09415171219
730	0.09411365104
731	0.09402739928
732	0.0939774144
733	0.09391086376
734	0.09376291034
735	0.09369580338
736	0.09362606706
737	0.09357679852
738	0.09353711104
739	0.09351521922
740	0.09339671743
741	0.09337009243
742	0.09321695379
743	0.09313158784
744	0.0930435357
745	0.09301808408
746	0.09297399017
747	0.09292030547
748	0.09289954069
749	0.09288001151
750	0.09281546414
751	0.09270038045
752	0.09261433076
753	0.09247330949
754	0.09236262801
755	0.09235115528
756	0.09223422282
757	0.09219464136
758	0.09217363969
759	0.09213322359
760	0.09211478293
761	0.09198344634
762	0.0919457947
763	0.09191907556
764	0.09183918355
765	0.09179650366
766	0.09175149732
767	0.09164415383
768	0.09161601062
769	0.09157874494
770	0.09154159164
771	0.09141255305
772	0.09136508238
773	0.09129111876
774	0.09126534068
775	0.09120518056
776	0.09117460119
777	0.09109444391
778	0.09108107384
779	0.09095536005
780	0.09092420857
781	0.09087132209
782	0.09084895027
783	0.09079238489
784	0.0907090567
785	0.09061250612
786	0.09056889664
787	0.09049119123
788	0.09040049677
789	0.09034482571
790	0.09029544364
791	0.09028235357
792	0.0902579846
793	0.09022998048
794	0.0901858717
795	0.09011310323
796	0.09004488729
797	0.09002431277
798	0.08999660529
799	0.08989251607
800	0.08985031385
801	0.08981674149
802	0.08978487032
803	0.08968773154
804	0.08964699513
805	0.08961679656
806	0.08959835406
807	0.08958164193
808	0.08955034166
809	0.08950911621
810	0.08943256274
811	0.08939007553
812	0.08937613601
813	0.08935809357
814	0.08929205737
815	0.08925280778
816	0.08919477507
817	0.08913671179
818	0.08910038325
819	0.08906189213
820	0.08901973337
821	0.08895373245
822	0.08892966343
823	0.08888904457
824	0.08885660249
825	0.08883784808
826	0.08879095649
827	0.08874924454
828	0.08866890888
829	0.08861393428
830	0.08856566502
831	0.08851022277
832	0.08844193567
833	0.08837545238
834	0.08835559532
835	0.08819111109
836	0.08816774771
837	0.08809197708
838	0.08806177305
839	0.08801909302
840	0.08796457066
841	0.0879007213
842	0.08785218554
843	0.08777512877
844	0.08770810388
845	0.08765697956
846	0.08757577625
847	0.0875552911
848	0.087453378
849	0.087414505
850	0.08739793739
851	0.08735632192
852	0.08732418275
853	0.08723281969
854	0.0871713921
855	0.08710596025
856	0.0870661774
857	0.08703901373
858	0.08697951301
859	0.08696138172
860	0.08691803701
861	0.08685098663
862	0.08681223104
863	0.08679478618
864	0.08663266929
865	0.08652895227
866	0.08648808552
867	0.08645588345
868	0.08643211221
869	0.08637766633
870	0.0863465761
871	0.08629424799
872	0.08623398175
873	0.08620006985
874	0.08609704424
875	0.08606792775
876	0.08603004758
877	0.08600437515
878	0.08598101874
879	0.08593985546
880	0.08587705815
881	0.08580622973
882	0.08577576593
883	0.08568956327
884	0.08562715356
885	0.08560916763
886	0.08559087323
887	0.085535301
888	0.08550821147
889	0.0854329709
890	0.08535830474
891	0.08534784901
892	0.085307117
893	0.08524112443
894	0.08519617361
895	0.08515319739
896	0.08511889823
897	0.08509414545
898	0.08507402484
899	0.08503278421
900	0.0849808484
901	0.08492351994
