iter	Passed	Remaining
0	29	29940
1	53	26916
2	77	25811
3	101	25201
4	127	25339
5	149	24786
6	173	24579
7	196	24422
8	221	24364
9	250	24815
10	274	24716
11	302	24918
12	328	24939
13	355	25010
14	377	24810
15	402	24758
16	425	24592
17	449	24502
18	472	24407
19	497	24366
20	521	24316
21	546	24307
22	569	24195
23	592	24101
24	615	23987
25	637	23878
26	665	23996
27	692	24032
28	716	24002
29	741	23968
30	764	23882
31	789	23872
32	813	23841
33	840	23866
34	861	23763
35	886	23751
36	907	23620
37	927	23485
38	954	23526
39	979	23510
40	1005	23511
41	1033	23569
42	1061	23633
43	1090	23685
44	1110	23574
45	1137	23585
46	1158	23480
47	1182	23456
48	1206	23410
49	1227	23327
50	1259	23433
51	1283	23396
52	1306	23346
53	1328	23270
54	1354	23274
55	1375	23186
56	1398	23139
57	1421	23089
58	1446	23066
59	1469	23016
60	1492	22977
61	1516	22942
62	1538	22884
63	1560	22819
64	1584	22793
65	1607	22748
66	1629	22690
67	1652	22648
68	1674	22588
69	1697	22557
70	1719	22501
71	1742	22452
72	1766	22438
73	1790	22403
74	1813	22371
75	1836	22331
76	1858	22283
77	1884	22273
78	1906	22229
79	1938	22287
80	1967	22327
81	1994	22323
82	2015	22268
83	2047	22322
84	2084	22434
85	2115	22479
86	2138	22441
87	2161	22397
88	2187	22388
89	2212	22367
90	2233	22311
91	2256	22272
92	2285	22292
93	2308	22249
94	2334	22243
95	2356	22189
96	2380	22158
97	2403	22124
98	2426	22087
99	2450	22057
100	2472	22011
101	2497	21986
102	2519	21943
103	2543	21915
104	2565	21868
105	2586	21818
106	2610	21788
107	2632	21745
108	2655	21709
109	2678	21673
110	2702	21645
111	2722	21582
112	2743	21532
113	2764	21487
114	2787	21449
115	2810	21418
116	2830	21362
117	2854	21334
118	2877	21301
119	2902	21281
120	2925	21251
121	2946	21204
122	2969	21171
123	2994	21155
124	3016	21112
125	3040	21091
126	3063	21058
127	3083	21004
128	3107	20983
129	3129	20942
130	3150	20898
131	3174	20874
132	3197	20845
133	3222	20826
134	3243	20785
135	3265	20745
136	3289	20723
137	3315	20707
138	3336	20665
139	3360	20645
140	3384	20621
141	3410	20606
142	3430	20561
143	3454	20534
144	3479	20516
145	3500	20477
146	3524	20452
147	3547	20424
148	3576	20425
149	3600	20402
150	3625	20386
151	3647	20350
152	3676	20350
153	3703	20345
154	3727	20319
155	3752	20302
156	3777	20280
157	3804	20272
158	3828	20252
159	3857	20250
160	3880	20219
161	3905	20200
162	3927	20166
163	3954	20157
164	3976	20125
165	4005	20123
166	4028	20095
167	4057	20095
168	4086	20096
169	4112	20077
170	4135	20050
171	4159	20024
172	4185	20006
173	4210	19989
174	4236	19970
175	4259	19940
176	4282	19912
177	4308	19896
178	4333	19876
179	4357	19852
180	4383	19835
181	4408	19812
182	4431	19784
183	4455	19757
184	4477	19724
185	4504	19711
186	4525	19675
187	4553	19668
188	4578	19646
189	4603	19623
190	4625	19592
191	4650	19572
192	4675	19549
193	4697	19517
194	4724	19505
195	4750	19488
196	4777	19472
197	4801	19449
198	4830	19442
199	4853	19413
200	4878	19393
201	4903	19370
202	4928	19350
203	4953	19329
204	4983	19325
205	5011	19315
206	5034	19288
207	5061	19272
208	5086	19249
209	5113	19236
210	5138	19216
211	5166	19205
212	5190	19179
213	5215	19155
214	5240	19135
215	5265	19111
216	5290	19089
217	5317	19074
218	5343	19056
219	5370	19041
220	5397	19026
221	5422	19002
222	5446	18978
223	5472	18958
224	5499	18942
225	5528	18932
226	5550	18902
227	5576	18881
228	5600	18857
229	5630	18850
230	5655	18826
231	5686	18824
232	5712	18805
233	5734	18772
234	5761	18756
235	5787	18736
236	5813	18715
237	5839	18694
238	5863	18670
239	5888	18646
240	5922	18651
241	5947	18629
242	5975	18616
243	6000	18591
244	6029	18580
245	6053	18555
246	6079	18532
247	6103	18508
248	6133	18500
249	6159	18477
250	6185	18457
251	6210	18435
252	6235	18411
253	6261	18391
254	6286	18367
255	6310	18340
256	6339	18327
257	6363	18301
258	6391	18286
259	6414	18256
260	6439	18233
261	6462	18203
262	6489	18185
263	6515	18164
264	6543	18149
265	6568	18124
266	6594	18105
267	6622	18088
268	6645	18059
269	6670	18035
270	6697	18016
271	6723	17995
272	6747	17969
273	6774	17949
274	6799	17926
275	6824	17901
276	6846	17869
277	6872	17847
278	6898	17828
279	6925	17807
280	6951	17787
281	6976	17763
282	6999	17733
283	7023	17707
284	7050	17688
285	7078	17671
286	7105	17652
287	7129	17626
288	7155	17603
289	7178	17575
290	7207	17559
291	7231	17534
292	7255	17507
293	7279	17480
294	7304	17456
295	7328	17430
296	7356	17413
297	7379	17383
298	7406	17363
299	7429	17335
300	7456	17316
301	7484	17297
302	7507	17269
303	7534	17250
304	7557	17221
305	7584	17200
306	7607	17172
307	7634	17152
308	7662	17134
309	7687	17109
310	7710	17082
311	7739	17067
312	7762	17037
313	7788	17014
314	7811	16987
315	7837	16964
316	7861	16938
317	7887	16915
318	7909	16884
319	7936	16864
320	7959	16836
321	7985	16813
322	8014	16799
323	8038	16771
324	8061	16743
325	8087	16720
326	8110	16692
327	8135	16667
328	8157	16637
329	8186	16620
330	8214	16601
331	8238	16575
332	8260	16545
333	8287	16524
334	8310	16496
335	8336	16473
336	8358	16443
337	8384	16421
338	8412	16402
339	8434	16373
340	8457	16344
341	8483	16321
342	8510	16301
343	8533	16272
344	8560	16252
345	8582	16223
346	8603	16191
347	8629	16168
348	8656	16147
349	8683	16125
350	8705	16097
351	8731	16074
352	8757	16051
353	8782	16027
354	8806	16000
355	8831	15976
356	8854	15948
357	8882	15928
358	8907	15904
359	8932	15880
360	8959	15858
361	8984	15835
362	9011	15814
363	9035	15786
364	9062	15765
365	9086	15740
366	9112	15717
367	9137	15692
368	9164	15671
369	9189	15646
370	9214	15621
371	9237	15595
372	9265	15575
373	9291	15552
374	9314	15524
375	9337	15495
376	9361	15469
377	9384	15441
378	9412	15423
379	9436	15397
380	9462	15373
381	9487	15349
382	9513	15325
383	9538	15301
384	9568	15283
385	9601	15272
386	9629	15253
387	9652	15225
388	9676	15199
389	9700	15173
390	9725	15147
391	9749	15121
392	9775	15098
393	9801	15075
394	9825	15048
395	9850	15025
396	9877	15002
397	9900	14974
398	9926	14951
399	9949	14924
400	9974	14899
401	10002	14878
402	10029	14857
403	10057	14837
404	10083	14813
405	10113	14796
406	10141	14775
407	10167	14752
408	10198	14736
409	10223	14712
410	10253	14694
411	10277	14668
412	10303	14644
413	10327	14618
414	10354	14595
415	10381	14573
416	10407	14550
417	10436	14531
418	10462	14507
419	10488	14484
420	10514	14460
421	10537	14433
422	10561	14406
423	10584	14379
424	10608	14353
425	10632	14326
426	10660	14305
427	10686	14282
428	10710	14255
429	10733	14228
430	10759	14204
431	10785	14180
432	10809	14155
433	10839	14135
434	10863	14109
435	10886	14082
436	10910	14055
437	10938	14034
438	10965	14012
439	10986	13983
440	11015	13962
441	11040	13938
442	11068	13917
443	11094	13892
444	11123	13873
445	11149	13848
446	11174	13824
447	11199	13799
448	11227	13777
449	11252	13752
450	11281	13732
451	11307	13709
452	11335	13687
453	11360	13662
454	11386	13639
455	11414	13617
456	11441	13594
457	11468	13572
458	11494	13548
459	11522	13525
460	11550	13504
461	11576	13481
462	11605	13460
463	11631	13436
464	11657	13412
465	11684	13389
466	11712	13367
467	11741	13346
468	11767	13322
469	11790	13295
470	11819	13275
471	11846	13251
472	11873	13229
473	11900	13205
474	11926	13181
475	11952	13157
476	11984	13140
477	12010	13115
478	12037	13092
479	12065	13070
480	12094	13049
481	12116	13021
482	12142	12997
483	12170	12975
484	12196	12950
485	12223	12927
486	12249	12903
487	12276	12880
488	12300	12853
489	12332	12835
490	12359	12812
491	12385	12788
492	12415	12768
493	12438	12741
494	12470	12722
495	12497	12698
496	12525	12676
497	12553	12653
498	12581	12631
499	12605	12605
500	12635	12584
501	12660	12559
502	12687	12535
503	12716	12514
504	12747	12494
505	12775	12472
506	12800	12446
507	12825	12421
508	12854	12400
509	12883	12378
510	12912	12356
511	12939	12332
512	12967	12310
513	12997	12289
514	13025	12267
515	13050	12241
516	13082	12222
517	13109	12198
518	13138	12176
519	13165	12152
520	13193	12130
521	13220	12106
522	13247	12082
523	13276	12059
524	13301	12034
525	13330	12012
526	13356	11987
527	13383	11964
528	13410	11940
529	13442	11921
530	13475	11901
531	13503	11879
532	13529	11854
533	13556	11830
534	13585	11808
535	13609	11781
536	13638	11759
537	13664	11733
538	13693	11712
539	13723	11690
540	13752	11667
541	13777	11642
542	13806	11620
543	13835	11597
544	13861	11572
545	13890	11549
546	13915	11523
547	13940	11498
548	13967	11474
549	13994	11450
550	14020	11425
551	14050	11403
552	14078	11380
553	14106	11356
554	14134	11333
555	14159	11306
556	14188	11284
557	14217	11261
558	14246	11239
559	14279	11219
560	14309	11197
561	14341	11176
562	14373	11156
563	14402	11133
564	14436	11114
565	14466	11092
566	14494	11068
567	14529	11050
568	14559	11028
569	14588	11005
570	14617	10982
571	14644	10958
572	14672	10933
573	14701	10910
574	14731	10888
575	14759	10864
576	14788	10841
577	14817	10818
578	14850	10798
579	14880	10775
580	14909	10752
581	14939	10729
582	14971	10708
583	14997	10683
584	15024	10658
585	15051	10633
586	15082	10611
587	15110	10587
588	15138	10563
589	15166	10539
590	15193	10514
591	15220	10490
592	15251	10467
593	15282	10445
594	15308	10419
595	15336	10395
596	15366	10373
597	15391	10347
598	15419	10322
599	15449	10299
600	15479	10276
601	15513	10256
602	15545	10234
603	15570	10208
604	15599	10184
605	15627	10160
606	15655	10135
607	15681	10110
608	15712	10087
609	15739	10062
610	15767	10038
611	15796	10014
612	15821	9988
613	15848	9963
614	15876	9939
615	15906	9915
616	15933	9890
617	15965	9868
618	15994	9845
619	16025	9821
620	16053	9797
621	16080	9772
622	16111	9749
623	16137	9724
624	16165	9699
625	16194	9675
626	16227	9653
627	16254	9628
628	16287	9606
629	16315	9582
630	16342	9556
631	16367	9530
632	16396	9506
633	16427	9483
634	16458	9460
635	16489	9437
636	16517	9412
637	16546	9388
638	16575	9364
639	16600	9337
640	16628	9312
641	16659	9289
642	16687	9265
643	16715	9240
644	16743	9215
645	16770	9190
646	16796	9163
647	16825	9139
648	16851	9114
649	16879	9088
650	16909	9065
651	16934	9038
652	16966	9016
653	16992	8989
654	17021	8965
655	17052	8941
656	17082	8918
657	17114	8895
658	17142	8870
659	17173	8847
660	17206	8824
661	17235	8800
662	17265	8775
663	17296	8752
664	17324	8727
665	17352	8702
666	17386	8679
667	17413	8654
668	17441	8629
669	17469	8604
670	17502	8581
671	17534	8558
672	17564	8534
673	17595	8510
674	17625	8486
675	17655	8462
676	17687	8438
677	17720	8415
678	17749	8391
679	17787	8370
680	17824	8349
681	17856	8326
682	17892	8304
683	17924	8280
684	17957	8257
685	17987	8233
686	18017	8208
687	18042	8182
688	18072	8157
689	18106	8134
690	18135	8109
691	18165	8085
692	18196	8061
693	18225	8035
694	18262	8014
695	18295	7991
696	18326	7967
697	18367	7946
698	18401	7924
699	18439	7902
700	18474	7880
701	18514	7859
702	18548	7836
703	18579	7811
704	18614	7788
705	18654	7768
706	18685	7743
707	18720	7720
708	18759	7699
709	18799	7678
710	18833	7655
711	18868	7632
712	18905	7609
713	18947	7589
714	18981	7565
715	19018	7543
716	19050	7519
717	19078	7493
718	19108	7467
719	19136	7442
720	19170	7418
721	19202	7393
722	19230	7367
723	19262	7343
724	19290	7317
725	19322	7292
726	19354	7267
727	19384	7242
728	19419	7218
729	19450	7194
730	19479	7168
731	19511	7143
732	19538	7117
733	19571	7092
734	19605	7068
735	19635	7043
736	19666	7018
737	19698	6993
738	19723	6965
739	19752	6939
740	19786	6915
741	19814	6889
742	19847	6865
743	19878	6839
744	19911	6815
745	19942	6790
746	19969	6763
747	20001	6738
748	20028	6711
749	20056	6685
750	20086	6659
751	20119	6635
752	20149	6609
753	20180	6583
754	20212	6559
755	20238	6531
756	20273	6507
757	20302	6481
758	20330	6455
759	20360	6429
760	20389	6403
761	20423	6378
762	20449	6352
763	20478	6325
764	20512	6301
765	20540	6274
766	20571	6249
767	20600	6223
768	20630	6197
769	20662	6171
770	20692	6145
771	20726	6121
772	20755	6094
773	20783	6068
774	20813	6042
775	20844	6017
776	20874	5990
777	20906	5965
778	20933	5938
779	20966	5913
780	20996	5887
781	21028	5862
782	21058	5836
783	21086	5809
784	21120	5784
785	21152	5759
786	21180	5732
787	21214	5707
788	21247	5682
789	21278	5656
790	21314	5631
791	21347	5606
792	21374	5579
793	21407	5554
794	21436	5527
795	21466	5501
796	21499	5476
797	21524	5448
798	21555	5422
799	21587	5396
800	21619	5371
801	21647	5344
802	21676	5317
803	21709	5292
804	21741	5266
805	21771	5240
806	21803	5214
807	21833	5188
808	21862	5161
809	21890	5134
810	21925	5109
811	21955	5083
812	21984	5056
813	22011	5029
814	22042	5003
815	22074	4977
816	22104	4951
817	22135	4925
818	22167	4899
819	22194	4872
820	22224	4845
821	22256	4819
822	22285	4792
823	22315	4766
824	22342	4739
825	22372	4712
826	22402	4686
827	22430	4659
828	22461	4633
829	22492	4606
830	22524	4580
831	22554	4554
832	22587	4528
833	22621	4502
834	22650	4475
835	22681	4449
836	22706	4421
837	22737	4395
838	22766	4368
839	22793	4341
840	22820	4314
841	22850	4287
842	22878	4260
843	22905	4233
844	22936	4207
845	22966	4180
846	22998	4154
847	23024	4127
848	23055	4100
849	23084	4073
850	23111	4046
851	23140	4019
852	23168	3992
853	23199	3966
854	23230	3939
